event_id,center_lat,center_lon,start_utc,end_utc,max_edr,mean_edr,n_reports,edr_bin,lat_min,lat_max,lon_min,lon_max
0,40.2309,-85.1203,2010-06-15T12:01:17+00:00,2010-06-15T15:40:33+00:00,0.95,0.2339,31,severe,36.83,43.4283,-88.51,-81.7383
1,40.5543,-75.1722,2010-06-30T18:47:38+00:00,2010-07-01T00:43:04+00:00,0.95,0.2823,31,severe,37.1167,44.17,-78.6417,-72.2417
2,40.3909,-82.209,2011-07-07T18:06:05+00:00,2011-07-08T00:04:02+00:00,0.95,0.2184,38,severe,36.8117,43.5617,-85.6567,-78.37
3,39.7744,-74.7523,2011-10-12T12:51:34+00:00,2011-10-12T18:50:36+00:00,0.95,0.2531,32,severe,36.5867,43.6783,-78.32,-70.82
4,40.1876,-76.3784,2010-07-27T15:39:14+00:00,2010-07-27T21:28:50+00:00,0.95,0.2594,32,severe,37.405,42.9817,-80.7383,-72.7883
5,39.9655,-75.1285,2010-06-25T21:02:23+00:00,2010-06-26T00:58:14+00:00,0.95,0.2312,32,severe,36.595,43.2067,-78.9833,-71.485
6,39.9187,-82.7284,2011-09-22T09:52:20+00:00,2011-09-22T15:48:22+00:00,0.95,0.2952,31,severe,36.2867,43.4183,-86.55,-79.0017
7,40.6212,-75.6373,2010-07-21T18:57:27+00:00,2010-07-22T00:57:18+00:00,0.95,0.2689,37,severe,37.4033,43.7867,-79.68,-71.9983
8,39.6659,-82.6708,2010-09-10T09:59:51+00:00,2010-09-10T15:57:00+00:00,0.95,0.3257,37,severe,36.3883,43.4683,-86.54,-78.3133
9,40.1678,-75.895,2010-11-16T12:00:37+00:00,2010-11-16T15:54:39+00:00,0.95,0.277,37,severe,37.0233,43.975,-80.3433,-72.2317
10,39.4284,-76.2967,2010-06-24T18:42:22+00:00,2010-06-25T00:41:12+00:00,0.95,0.3591,33,severe,35.5933,42.755,-79.73,-72.7933
11,40.7097,-81.0718,2010-07-31T12:58:02+00:00,2010-07-31T18:25:21+00:00,0.95,0.3227,33,severe,37.5667,44.3233,-84.645,-76.5133
12,41.2345,-81.6483,2010-06-11T12:01:02+00:00,2010-06-11T15:59:13+00:00,0.95,0.4742,33,severe,37.89,44.3383,-84.95,-77.5817
13,40.7893,-82.0106,2010-06-09T09:40:00+00:00,2010-06-09T15:37:17+00:00,0.95,0.2471,35,severe,37.78,44.3383,-85.7417,-78.1567
14,41.0188,-74.8433,2010-08-13T12:57:20+00:00,2010-08-13T18:57:03+00:00,0.95,0.4136,33,severe,37.29,44.165,-79.1817,-71.1183
15,40.6524,-76.1054,2010-10-01T12:08:00+00:00,2010-10-01T15:56:42+00:00,0.95,0.2242,31,severe,37.4383,44.4783,-80.2967,-72.5517
16,41.2844,-80.9149,2010-06-28T12:06:12+00:00,2010-06-28T15:52:20+00:00,0.95,0.3632,38,severe,38.0117,44.4717,-84.86,-76.9217
17,40.6438,-81.9068,2011-07-24T21:01:03+00:00,2011-07-25T00:58:09+00:00,0.95,0.2551,39,severe,37.0817,44.335,-85.6633,-78.6767
18,41.3701,-81.5496,2010-06-04T18:28:10+00:00,2010-06-05T00:16:02+00:00,0.95,0.2371,31,severe,37.72,44.6633,-85.7433,-77.8867
19,40.7252,-82.7676,2010-05-25T18:01:45+00:00,2010-05-25T21:57:34+00:00,0.95,0.615,40,severe,37.6617,44.0317,-86.17,-79.73
20,39.3065,-79.216,2010-08-01T18:35:54+00:00,2010-08-02T00:35:32+00:00,0.65,0.1988,41,severe,35.6367,42.2767,-83.4,-75.3017
21,40.8936,-81.2002,2010-06-08T12:01:17+00:00,2010-06-08T15:53:17+00:00,0.65,0.291,39,severe,37.4178,44.3283,-84.6333,-76.5417
22,39.5482,-82.6031,2010-10-14T09:57:31+00:00,2010-10-14T15:51:41+00:00,0.65,0.2797,37,severe,36.495,42.985,-85.8833,-79.0333
23,40.6302,-83.5081,2011-07-29T21:13:17+00:00,2011-07-30T00:59:45+00:00,0.65,0.2134,41,severe,37.03,43.3333,-87.3867,-80.0267
24,41.5507,-81.2085,2010-06-04T12:00:17+00:00,2010-06-04T15:54:01+00:00,0.65,0.2147,34,severe,38.1333,44.4717,-85.1217,-77.33
25,41.9536,-95.6433,2007-10-22T15:00:00+00:00,2007-10-22T18:56:00+00:00,0.55,0.1711,57,severe,38.196,45.0002,-99.2133,-91.9941
26,40.1327,-75.3451,2011-01-04T18:43:44+00:00,2011-01-05T00:04:22+00:00,0.45,0.2375,32,severe,36.7833,43.86,-80.0233,-72.1733
27,41.7592,-90.1166,2006-03-09T18:28:00+00:00,2006-03-10T00:28:00+00:00,0.45,0.1873,59,severe,38.6924,44.75,-93.7509,-86.4466
28,40.437,-81.2898,2011-05-23T21:04:48+00:00,2011-05-24T03:04:00+00:00,0.45,0.1814,35,severe,37.3517,43.2927,-85.045,-77.7659
29,40.166,-75.8178,2010-09-15T15:52:25+00:00,2010-09-15T21:37:41+00:00,0.45,0.2289,38,severe,36.995,44.0133,-79.94,-72.1317
30,39.1011,-83.6116,2010-06-03T12:01:23+00:00,2010-06-03T15:56:42+00:00,0.45,0.21,35,severe,35.4183,42.5717,-87.4933,-79.6417
31,41.8911,-92.4943,2009-10-29T18:59:00+00:00,2009-10-30T00:53:00+00:00,0.45,0.17,35,severe,39.2949,44.77,-95.7927,-87.8949
