feature,importance
diag23_std,0.32212928
diag23_mean,0.14544739
diag20_std,0.061785217
diag3_std,0.047463994
diag7_mean,0.028756022
diag25_mean,0.019675225
diag35_mean,0.018217778
diag28_std,0.017022254
diag2_max,0.012650834
ONI,0.012389431
diag24_mean,0.012176257
diag9_max,0.010765106
diag13_mean,0.010640084
diag11_std,0.010587879
diag4_mean,0.01046243
diag1_mean,0.010195718
diag17_mean,0.0093660625
Nino34,0.008704671
diag4_max,0.008400526
diag26_mean,0.0082567865
diag21_std,0.008239004
diag20_max,0.00787557
cos_doy,0.0076414575
diag0_max,0.0074700043
diag31_mean,0.00740606
diag28_max,0.0073802746
diag14_std,0.006691352
diag11_mean,0.0061977343
diag2_mean,0.0056045214
diag16_max,0.0054866113
diag18_mean,0.005425508
diag13_max,0.0053270035
diag1_std,0.004748229
diag10_std,0.00424304
diag22_mean,0.004128869
sin_doy,0.0040448336
diag25_std,0.0038579162
diag21_max,0.0037981432
PDO,0.003706493
diag13_std,0.003631427
diag24_std,0.0036246248
diag15_std,0.0035801695
tb_max,0.0035547537
diag4_std,0.0033527066
diag18_std,0.0033328538
tb_cold,0.0032091725
diag0_mean,0.0031687764
diag26_std,0.0031682677
diag11_max,0.002757599
diag7_max,0.002597407
diag5_std,0.0025802765
diag16_mean,0.0025794152
diag3_mean,0.002483133
diag1_max,0.0024066933
diag10_mean,0.0023056339
diag35_std,0.0022067616
cos_hr,0.002205876
diag27_mean,0.0020739601
diag19_std,0.0019453557
diag3_max,0.0019238902
diag24_max,0.0019120383
diag8_mean,0.0019045905
diag9_mean,0.001845263
diag16_std,0.0018016937
diag27_max,0.0016991283
diag0_std,0.0016590283
diag33_std,0.0015619679
diag32_std,0.0014837487
diag14_mean,0.0014028652
diag5_mean,0.0014020285
diag8_max,0.0012702974
diag19_mean,0.0012667432
diag34_mean,0.0011510623
diag30_max,0.0011507773
diag12_mean,0.0010965648
diag8_std,0.0010837136
QBO,0.0010713227
diag2_std,0.00094027433
diag6_max,0.00090438715
diag22_max,0.00089976576
diag18_max,0.00089595455
diag30_std,0.00088871294
tb_cooling,0.00088129594
diag29_std,0.000862384
diag10_max,0.0008475595
diag22_std,0.00080615975
diag25_max,0.0008060261
diag20_mean,0.00078768865
diag9_std,0.0007835107
diag33_max,0.00062242517
diag14_max,0.0006209015
diag33_mean,0.00061611895
tb_mean,0.00061254296
diag12_std,0.0005954854
diag6_std,0.0005658343
diag15_max,0.0005463689
diag35_max,0.0005274551
diag34_max,0.00048508213
sin_hr,0.00046921632
diag29_mean,0.00042989815
diag31_std,0.00040914293
diag32_mean,0.00040706998
diag23_max,0.00040097567
diag19_max,0.00037790218
diag27_std,0.0003755411
diag34_std,0.00036480115
diag26_max,0.00036332197
diag15_mean,0.00035743587
diag12_max,0.00035499287
diag32_max,0.00035233697
diag5_max,0.00030583589
diag6_mean,0.0002925405
diag7_std,0.000279091
diag31_max,0.00020649155
tb_std,0.00019634544
diag17_std,0.00019493954
diag28_mean,0.00018277408
diag17_max,0.00011572958
diag29_max,0.00010165095
diag21_mean,8.924488e-05
diag30_mean,5.9630664e-05
sat_mask,0.0
